,Low Speed Balancing Data,,Trial Mass @Correction Run 1,,Trial Mass @Correction Run 2,,Trial Mass @Correction Run 3,,Trial Mass @Correction Run 4,
,Mass (gm),Angle (°),Mass (gm),Angle (°),Mass (gm),Angle (°),Mass (gm),Angle (°),Mass (gm),Angle (°)
Balancing Plane1,126.2,128,108.2,128,89.9,123,,,,
Balancing Plane2,89.6,174,,,46.3,120,36.1,120,38.4,123
Balancing Plane3,124.8,174,168.5,174,,,,,,
Balancing Plane4,,,,,,,21.3,260,37.7,251.13
Balancing Plane5,,,66.5,313,,,,,,
Balancing Plane6,39.5,175,42.3,159,48.1,152,,,,
