,Low Speed Balancing Data,,Trial Mass @Correction Run 1,,Trial Mass @Correction Run 2,,Trial Mass @Correction Run 3,,Trial Mass @Correction Run 4,
,Mass (gm),Angle (°),Mass (gm),Angle (°),Mass (gm),Angle (°),Mass (gm),Angle (°),Mass (gm),Angle (°)
Balancing Plane1,31.8,83,70.5,356,,,,,,
Balancing Plane2,30.7,91,,,66.3,56,13.6,101,23.8,108.8
Balancing Plane3,30.7,91,57,131,,,37.3,191,65.1,198.802
Balancing Plane4,,,,,47.3,185,,,,
Balancing Plane5,23.1,185,27.6,259,27.2,328,,,,
