,Low Speed Balancing Data,,Trial Mass @Correction Run 1,,Trial Mass @Correction Run 2,
,Mass (gm),Angle (°),Mass (gm),Angle (°),Mass (gm),Angle (°)
Balancing Plane1,71.2,347,61.5,1,,
Balancing Plane2,51.3,354,,,54.7,12
Balancing Plane3,51,354,44.1,102,,
Balancing Plane4,,,,,16.3,70
Balancing Plane5,,,26,225,,
