,Low Speed Balancing Data,,Trial Mass @Correction Run 1,,Trial Mass @Correction Run 2,,Trial Mass @Correction Run 3,
,Mass (gm),Angle (°),Mass (gm),Angle (°),Mass (gm),Angle (°),Mass (gm),Angle (°)
Balancing Plane1,181,1,62,84,189,18,194.6,18
Balancing Plane2,89.6,11,,,,,,
Balancing Plane3,169.85,10.96,43,245,,,,
Balancing Plane4,,,92.1,10,,,,
Balancing Plane5,,,,,,,,
Balancing Plane6,,,34,175,32.8,225,25.6,197
