,Low Speed Balancing Data,,Trial Mass @Correction Run 1,,Trial Mass @Correction Run 2,
,Mass (gm),Angle (°),Mass (gm),Angle (°),Mass (gm),Angle (°)
Balancing Plane1,209.2,58,211.7,74,,
Balancing Plane2,124.4,84,,,,
Balancing Plane3,124.6,102,43.5,12,,
Balancing Plane4,,,,,29.2,290
Balancing Plane5,,,73.2,305,,
Balancing Plane6,38.8,264,46.2,183,,
