,Low Speed Balancing Data,,Trial Mass @Correction Run 1,,Trial Mass @Correction Run 2,,Trial Mass @Correction Run 3,
,Mass (gm),Angle (°),Mass (gm),Angle (°),Mass (gm),Angle (°),Mass (gm),Angle (°)
Balancing Plane1,167.4,357,207.5,6,,,67.2,32
Balancing Plane2,1244,12,59.9,8,30.6,156,,
Balancing Plane3,124.4,30,,,23.2,102,279.44,148
Balancing Plane4,28.8,100,28.9,26,,,,
Balancing Plane5,,,,,,,22.97,154
