,Low Speed Balancing Data,,Trial Mass @Correction Run 1,,Trial Mass @Correction Run 2,,Trial Mass @Correction Run 3,
,Mass (gm),Angle (°),Mass (gm),Angle (°),Mass (gm),Angle (°),Mass (gm),Angle (°)
Balancing Plane1,182.1,64,177.4,74,,,,
Balancing Plane2,124.4,49,,,45,67,68,67
Balancing Plane3,124.4,28,152.3,20.7,,,,
Balancing Plane4,,,,,24.4,78,36.6,78
Balancing Plane5,78.7,358,57.8,333,,,,
